item_nr,condition,text,corr_ans,is_practice_trial,thisN,thisTrialN,thisRepN,stim_resp.keys,stim_resp.corr,stim_resp.rt,stim_resp.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro_resp.started,intro.stopped,feedback_prep.started,feedback_prep_text.started,feedback_prep_key_resp.started,feedback_prep.stopped,trial.started,fix.started,fix.stopped,stimulus.started,stim_resp.started,trial.stopped,practice_trials.stim_resp.keys,practice_trials.stim_resp.corr,practice_trials.stim_resp.rt,practice_trials.stim_resp.duration,feedback.started,feedback.stopped,proper_trials_prep.started,proper_trials_prep_text.started,proper_trials_prep_resp.started,proper_trials_prep.stopped,trials.stim_resp.keys,trials.stim_resp.corr,trials.stim_resp.rt,trials.stim_resp.duration,store_resp_and_break.started,store_resp_and_break.stopped,participant,age,gender,dominant hand,first language,date,expName,psychopyVersion,frameRate,expStart,
18,word,Kreuzzug,rshift,False,1,1,0,rshift,1,0.5572086000001946,None,,,,,0,1,1,34,31.894032100000004,,,,,,,,,31.880203400000028,32.127894899999774,32.6294869000003,32.87896610000007,32.87896610000007,33.44716629999948,,,,,,,,,,,rshift,1,0.5572086000001946,None,33.44722809999985,33.44740569999976,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
58,word,antaten,rshift,False,2,2,0,rshift,1,1.0119385999996666,None,,,,,0,2,2,114,33.46298839999963,,,,,,,,,33.44921129999966,33.69682730000022,34.197728999999526,34.44742589999987,34.44742589999987,35.46720490000007,,,,,,,,,,,rshift,1,1.0119385999996666,None,35.46728499999972,35.46744369999942,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
52,word,absichtlichen,rshift,False,3,3,0,rshift,1,0.7523357999998552,None,,,,,0,3,3,102,35.48355189999984,,,,,,,,,35.46892769999977,35.71614940000018,36.21750379999958,36.467527199999495,36.467527199999495,37.23611729999993,,,,,,,,,,,rshift,1,0.7523357999998552,None,37.23619669999971,37.23637469999994,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
129,word,vergeltet,rshift,False,4,4,0,rshift,1,0.9539586999999301,None,,,,,0,4,4,256,37.25205469999946,,,,,,,,,37.23790420000023,37.486019699999815,37.9865835999999,38.237562600000274,38.237562600000274,39.20579069999985,,,,,,,,,,,rshift,1,0.9539586999999301,None,39.20585529999971,39.20603879999999,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
125,pseudoword,Sevewoknischen,lshift,False,5,5,0,lshift,1,0.7399255000000267,None,,,,,0,5,5,249,39.2216542999995,,,,,,,,,39.20853540000007,39.455651499999476,39.95594439999968,40.206704199999876,40.206704199999876,40.95854950000012,,,,,,,,,,,lshift,1,0.7399255000000267,None,40.958644399999685,40.958896000000095,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
42,word,Treter,rshift,False,6,6,0,lshift,0,0.6969543000004705,None,,,,,0,6,6,82,40.97494000000006,,,,,,,,,40.9604460999999,41.207976900000176,41.70910499999991,41.95915729999979,41.95915729999979,42.66165230000024,,,,,,,,,,,lshift,0,0.6969543000004705,None,42.661757199999556,42.662007599999924,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
30,word,Röntgen,rshift,False,7,7,0,rshift,1,0.6806463000002623,None,,,,,0,7,7,58,42.676176199999645,,,,,,,,,42.665270899999996,42.92741669999941,43.42807079999966,43.6617698,43.6617698,44.346612899999855,,,,,,,,,,,rshift,1,0.6806463000002623,None,44.34669289999965,44.34693530000004,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
101,word,jahrelanges,rshift,False,8,8,0,rshift,1,0.9356011999998373,None,,,,,0,8,8,200,44.364415899999585,,,,,,,,,44.34962489999998,44.59694839999975,45.09740529999999,45.348006799999894,45.348006799999894,46.3001720000002,,,,,,,,,,,rshift,1,0.9356011999998373,None,46.300263999999515,46.30057669999951,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
81,word,endgültig,rshift,False,9,9,0,rshift,1,0.7934610000002067,None,,,,,0,9,9,160,46.31539960000009,,,,,,,,,46.304734700000154,46.566202500000145,47.066840800000136,47.30058800000006,47.30058800000006,48.10268369999994,,,,,,,,,,,rshift,1,0.7934610000002067,None,48.10277640000004,48.10291749999942,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
15,word,Kollegium,rshift,False,10,10,0,rshift,1,0.8434345000005123,None,,,,,0,10,10,28,48.11854870000025,,,,,,,,,48.10479899999973,48.35297149999951,48.85321399999975,49.103164000000106,49.103164000000106,49.955331600000136,,,,,,,,,,,rshift,1,0.8434345000005123,None,49.955395599999974,49.955579899999975,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
79,pseudoword,einpellsten,lshift,False,11,11,0,lshift,1,1.621581100000185,None,,,,,0,11,11,157,49.971508200000244,,,,,,,,,49.956867500000044,50.204908499999874,50.70594960000017,50.955905599999824,50.955905599999824,52.59373549999964,,,,,,,,,,,lshift,1,1.621581100000185,None,52.59381630000007,52.59411569999975,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
90,pseudoword,riviert,lshift,False,12,12,0,rshift,0,0.8761545000006663,None,,,,,0,12,12,179,52.60836719999952,,,,,,,,,52.59592040000007,52.84215839999979,53.3431357999998,53.593630700000176,53.593630700000176,54.479170699999486,,,,,,,,,,,rshift,0,0.8761545000006663,None,54.47925269999996,54.47952889999942,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
69,pseudoword,benäugen,lshift,False,13,13,0,lshift,1,1.4598915000005945,None,,,,,0,13,13,137,54.49481879999985,,,,,,,,,54.482581299999765,54.74555689999943,55.2459417,55.47995110000011,55.47995110000011,56.949495699999716,,,,,,,,,,,lshift,1,1.4598915000005945,None,56.94955829999981,56.949758499999916,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
113,word,parfümiert,rshift,False,14,14,0,rshift,1,1.1497466000000713,None,,,,,0,14,14,224,56.96569559999989,,,,,,,,,56.952051299999766,57.215520099999594,57.71617890000016,57.950256199999785,57.950256199999785,59.102692299999944,,,,,,,,,,,rshift,1,1.1497466000000713,None,59.10275019999972,59.10299049999958,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
8,pseudoword,Gisiblase,lshift,False,15,15,0,rshift,0,2.2442855999997846,None,,,,,0,15,15,15,59.118666700000176,,,,,,,,,59.1045481000001,59.352556699999695,59.853082300000096,60.103657999999996,60.103657999999996,62.35699229999955,,,,,,,,,,,rshift,0,2.2442855999997846,None,62.3570479,62.357240600000296,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
110,pseudoword,quaserbesprugen,lshift,False,16,16,0,lshift,1,0.8065062999994552,None,,,,,0,16,16,219,62.37272979999943,,,,,,,,,62.36048149999988,62.60705330000019,63.10784199999944,63.358255799999824,63.358255799999824,64.1780361000001,,,,,,,,,,,lshift,1,0.8065062999994552,None,64.17814959999941,64.17847770000026,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
35,word,Sowjetbürger,rshift,False,17,17,0,lshift,0,2.026067800000419,None,,,,,0,17,17,68,64.19282219999968,,,,,,,,,64.18081340000026,64.44366069999978,64.9440555000001,65.19441039999947,65.19441039999947,67.23207879999973,,,,,,,,,,,lshift,0,2.026067800000419,None,67.23213719999967,67.23227729999962,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
100,word,interpretiert,rshift,False,18,18,0,rshift,1,1.0159727000000203,None,,,,,0,18,18,198,67.24772310000026,,,,,,,,,67.23390259999996,67.49762809999993,67.99859070000002,68.23207139999977,68.23207139999977,69.25151339999957,,,,,,,,,,,rshift,1,1.0159727000000203,None,69.25162230000024,69.25187769999957,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
78,word,durchquerten,rshift,False,19,19,0,lshift,0,1.3771118000004208,None,,,,,0,19,19,154,69.26759130000028,,,,,,,,,69.25494900000012,69.5010887999997,70.00199520000024,70.25170749999961,70.25170749999961,71.6382451999998,,,,,,,,,,,lshift,0,1.3771118000004208,None,71.63832189999994,71.6385607000002,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
28,word,Rasters,rshift,False,20,20,0,lshift,0,1.157848599999852,None,,,,,0,20,20,54,71.6544385999996,,,,,,,,,71.63993860000028,71.88785219999954,72.38900259999991,72.63871699999982,72.63871699999982,73.80840429999989,,,,,,,,,,,lshift,0,1.157848599999852,None,73.80851319999965,73.80872149999959,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
62,word,auffälliges,rshift,False,21,21,0,rshift,1,1.31433670000024,None,,,,,0,21,21,122,73.82457470000008,,,,,,,,,73.81085040000016,74.05769069999951,74.55909619999966,74.8085629999996,74.8085629999996,76.1279900999998,,,,,,,,,,,rshift,1,1.31433670000024,None,76.12806850000015,76.12828900000022,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
148,word,überbelegt,rshift,False,22,22,0,rshift,1,0.8132582999996885,None,,,,,0,22,22,294,76.14440860000013,,,,,,,,,76.13070449999941,76.37808719999975,76.8788771999998,77.12918720000016,77.12918720000016,77.94821169999977,,,,,,,,,,,rshift,1,0.8132582999996885,None,77.94830499999989,77.9485354999997,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
14,word,Kanäle,rshift,False,23,23,0,rshift,1,0.5583479999995689,None,,,,,0,23,23,26,77.96234490000006,,,,,,,,,77.95041309999942,78.21411199999966,78.71475689999988,78.94886789999964,78.94886789999964,79.51702620000015,,,,,,,,,,,rshift,1,0.5583479999995689,None,79.5171048000002,79.51732759999959,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
114,pseudoword,messelt,lshift,False,24,24,0,rshift,0,0.6027610999999524,None,,,,,0,24,24,227,79.5330654999998,,,,,,,,,79.51885450000009,79.76728129999992,80.26751539999987,80.51754179999989,80.51754179999989,81.13582609999958,,,,,,,,,,,rshift,0,0.6027610999999524,None,81.1358868999996,81.13608680000016,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
93,pseudoword,wafspiges,lshift,False,25,25,0,rshift,0,1.0219851000001654,None,,,,,0,25,25,185,81.15149199999996,,,,,,,,,81.13750540000001,81.38587269999971,81.88623019999977,82.1366681999998,82.1366681999998,83.17285119999997,,,,,,,,,,,rshift,0,1.0219851000001654,None,83.17293040000004,83.17311900000004,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
18,pseudoword,Kräppzug,lshift,False,26,26,0,rshift,0,22.904141900000468,None,,,,,0,26,26,35,83.18854509999983,,,,,,,,,83.17473679999966,83.4222934999998,84.00117200000022,84.1770733000003,84.1770733000003,107.09251510000013,,,,,,,,,,,rshift,0,22.904141900000468,None,107.09257569999954,107.09276760000012,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
104,word,kreiere,rshift,False,27,27,0,lshift,0,1.4975375000003623,None,,,,,0,27,27,206,107.10739000000012,,,,,,,,,107.09459270000025,107.3574837999995,107.85826300000008,108.0925728000002,108.0925728000002,109.59554370000023,,,,,,,,,,,lshift,0,1.4975375000003623,None,109.59560409999995,109.59582750000027,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
29,pseudoword,Rechtsfissenstrent,lshift,False,28,28,0,rshift,0,0.9284416000000419,None,,,,,0,28,28,57,109.6116962999995,,,,,,,,,109.59787830000005,109.84545239999989,110.34612629999992,110.5969611999999,110.5969611999999,111.53250109999954,,,,,,,,,,,rshift,0,0.9284416000000419,None,111.53257909999957,111.53281509999943,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
132,word,versteigere,rshift,False,29,29,0,rshift,1,0.985671800000091,None,,,,,0,29,29,262,111.54738219999945,,,,,,,,,111.53432309999971,111.79830070000025,112.29995419999977,112.53292979999969,112.53292979999969,113.53541940000014,,,,,,,,,,,rshift,1,0.985671800000091,None,113.53548690000025,113.53572059999988,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
90,word,fixiert,rshift,False,30,30,0,rshift,1,0.6345512000007147,None,,,,,0,30,30,178,113.55137029999969,,,,,,,,,113.53712149999956,113.80089189999944,114.3016875000003,114.5368668000001,114.5368668000001,115.18718609999996,,,,,,,,,,,rshift,1,0.6345512000007147,None,115.18724469999961,115.18743470000027,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
27,pseudoword,dükken,lshift,False,31,31,0,lshift,1,0.8511473999997179,None,,,,,0,31,31,53,115.20425989999967,,,,,,,,,115.18884359999993,115.43724469999961,115.93736650000028,116.1881672999998,116.1881672999998,117.04090999999971,,,,,,,,,,,lshift,1,0.8511473999997179,None,117.04101629999968,117.04124090000005,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
76,pseudoword,dogt,lshift,False,32,32,0,lshift,1,0.8878287999996246,None,,,,,0,32,32,151,117.0556889999998,,,,,,,,,117.04339019999952,117.3064102999997,117.80740379999952,118.04125199999999,118.04125199999999,118.9433184999998,,,,,,,,,,,lshift,1,0.8878287999996246,None,118.94340790000024,118.94355889999952,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
92,word,füttere,rshift,False,33,33,0,rshift,1,0.6106825000006211,None,,,,,0,33,33,182,118.95891119999942,,,,,,,,,118.94528720000017,119.19356580000021,119.69348949999949,119.9441541999995,119.9441541999995,120.5621272999997,,,,,,,,,,,rshift,1,0.6106825000006211,None,120.5621857999995,120.56244460000016,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
38,pseudoword,Sönttom,lshift,False,34,34,0,lshift,1,0.5952673000001596,None,,,,,0,34,34,75,120.5784077999997,,,,,,,,,120.56427269999949,120.81234070000028,121.31293949999963,121.56268170000021,121.56268170000021,122.1646437999998,,,,,,,,,,,lshift,1,0.5952673000001596,None,122.16474949999974,122.1649408000003,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
76,word,doch,rshift,False,35,35,0,rshift,1,0.49626870000065537,None,,,,,0,35,35,150,122.18042689999947,,,,,,,,,122.16673059999994,122.4144526,122.91561039999942,123.16516020000017,123.16516020000017,123.666604,,,,,,,,,,,rshift,1,0.49626870000065537,None,123.66668320000008,123.66684160000023,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
30,pseudoword,Räckgen,lshift,False,36,36,0,rshift,0,0.7484943999997995,None,,,,,0,36,36,59,123.68320659999972,,,,,,,,,123.66866550000032,123.91708049999943,124.41713189999973,124.66761859999951,124.66761859999951,125.41953740000008,,,,,,,,,,,rshift,0,0.7484943999997995,None,125.41961590000028,125.41980979999971,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
62,pseudoword,aushürliges,lshift,False,37,37,0,lshift,1,0.7872992000002341,None,,,,,0,37,37,123,125.43572959999983,,,,,,,,,125.42182020000018,125.66911129999971,126.17030069999964,126.41998869999952,126.41998869999952,127.22242740000002,,,,,,,,,,,lshift,1,0.7872992000002341,None,127.22250609999992,127.22270190000017,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
67,pseudoword,aufdergt,lshift,False,38,38,0,rshift,0,1.162691999999879,None,,,,,0,38,38,133,127.23843020000004,,,,,,,,,127.22419089999948,127.47223549999944,127.97279979999985,128.22377589999996,128.22377589999996,129.39267870000003,,,,,,,,,,,rshift,0,1.162691999999879,None,129.3927979,129.3930333999997,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
140,pseudoword,Austerbafer,lshift,False,39,39,0,rshift,0,0.8544853000003059,None,,,,,0,39,39,279,129.4081139,,,,,,,,,129.3949561999998,129.6421092999999,130.1424495000001,130.39328690000002,130.39328690000002,131.2613841000002,,,,,,,,,,,rshift,0,0.8544853000003059,None,131.2614493000001,131.26159279999956,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
110,word,niedergezwungen,rshift,False,40,40,0,rshift,1,1.2962453000000096,None,,,,,0,40,40,218,131.2776890999994,,,,,,,,,131.26363969999966,131.51184190000004,132.0121841,132.2623719000003,132.2623719000003,133.5645730999995,,,,,,,,,,,rshift,1,1.2962453000000096,None,133.56465430000026,133.56485079999948,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
45,word,Vertragsabschlüssen,rshift,False,41,41,0,rshift,1,1.4222404000001916,None,,,,,0,41,41,88,133.58038579999993,,,,,,,,,133.5694094999999,133.8149671000001,134.31552490000013,134.56610339999952,134.56610339999952,136.00298229999953,,,,,,,,,,,rshift,1,1.4222404000001916,None,136.00304249999954,136.00322940000024,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
95,word,gesprochen,rshift,False,42,42,0,rshift,1,0.8009490000004007,None,,,,,0,42,42,188,136.0181216000001,,,,,,,,,136.0048197999995,136.26875599999948,136.76957119999952,137.0032252000001,137.0032252000001,137.8212040999997,,,,,,,,,,,rshift,1,0.8009490000004007,None,137.8212678,137.82140900000013,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
87,word,ferneren,rshift,False,43,43,0,rshift,1,3.4516295000003083,None,,,,,0,43,43,172,137.83706989999973,,,,,,,,,137.82325539999965,138.07123390000015,138.57575859999997,138.82652940000025,138.82652940000025,142.29525850000027,,,,,,,,,,,rshift,1,3.4516295000003083,None,142.29536899999948,142.2955823000002,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
12,word,Jugendfreund,rshift,False,44,44,0,rshift,1,0.8136645000004137,None,,,,,0,44,44,22,142.31038660000013,,,,,,,,,142.29955150000023,142.54523979999976,143.04574439999942,143.2958278999995,143.2958278999995,144.11568110000007,,,,,,,,,,,rshift,1,0.8136645000004137,None,144.1157949999997,144.1159692000001,232545,18,male,right,german,2024-10-23_13h37.20.750,demo_experiment,2024.2.3,59.523561509133415,2024-10-23 13h37.43.174194 +0200,
