word,kk_valence_mean,kk_valence_sd,kk_arousal_mean,kk_arousal_sd,kk_concreteness_mean,kk_concreteness_sd,number_of_letters,number_of_syllables,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,resp_scale.response,resp_scale.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Lüge,3.578125,2.24531,6.887097,2.049429,7.442623,2.276874,4,2,0,33,33,57,81.06249962500002,,1.0,1.5074395840000534,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Ordner,5.171875,1.032099,2.196721,1.777823,2.380952,2.330918,6,2,0,34,34,62,82.58873116699996,,5.0,2.399811291999981,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Zufuhr,5.015625,0.577135,2.065574,1.681952,5.693548,2.460099,6,2,0,35,35,98,85.00748200000001,,2.0,3.8358977909999794,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Wunsch,6.322581,2.046782,5.3125,2.455153,7.919355,1.518178,6,1,0,36,36,93,88.86106466699997,,2.0,1.633535084000016,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Stachel,4.476191,1.56429,4.0625,2.409472,1.873016,1.22464,7,2,0,37,37,76,90.51424925,,4.0,3.865798916000017,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Dach,5.171875,1.120582,2.42623,1.765021,1.580645,1.0643,4,1,0,38,38,17,94.39636533399997,,5.0,2.1058594579999976,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Anreiz,6.112903,1.934203,4.84375,2.338218,7.285714,2.090135,6,2,0,39,39,4,96.52048625,,3.0,2.24895670799998,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Bestand,4.984375,0.845008,2.190476,1.664207,6.725807,2.416944,7,2,0,40,40,11,98.78772870899999,,2.0,5.093007874999955,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Säufer,3.3125,2.46805,6.578125,2.266419,4.206349,2.634503,6,2,0,41,41,71,103.91882612499998,,2.0,2.3832980420000354,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Reptil,4.75,1.414214,3.640625,2.228012,2.241936,1.585648,6,2,0,42,42,70,106.31874004199997,,4.0,2.1838856249999594,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Advent,6.301587,2.060652,4.079365,2.671846,5.306452,2.928597,6,2,0,43,43,1,108.51866874999999,,2.0,1.661679208999999,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Sucht,3.238095,2.427758,6.349206,1.952325,7.564516,1.996891,5,1,0,44,44,80,110.19748633399999,,1.0,2.0530461249999803,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Stapel,4.96875,0.616409,1.918033,1.68617,2.984127,2.239615,6,2,0,45,45,77,112.26851620900001,,4.0,1.6478867920000084,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Kummer,3.296875,2.517745,5.109375,2.35107,7.920635,1.649062,6,2,0,46,46,53,113.93561545899999,,1.0,2.305842874999996,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Bad,6.063492,1.785904,3.904762,2.786571,1.774194,1.31098,3,1,0,47,47,6,116.25549362500001,,5.0,2.079038292000007,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Schale,5.15873,0.936816,2.672131,1.989316,1.854839,1.597609,6,2,0,48,48,73,118.35260837499996,,5.0,0.9443233339999892,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Helfer,6.66129,2.475742,4.571429,2.600957,4.714286,2.696644,6,2,0,49,49,44,119.31530487500001,,2.0,1.7354772919999846,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
