word,word_english,kk_valence_mean,kk_valence_sd,kk_arousal_mean,kk_arousal_sd,kk_concreteness_mean,kk_concreteness_sd,number_of_letters,number_of_syllables,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,resp_scale.response,resp_scale.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Produkt,product,5.140625,0.870453,2.253968,1.645799,4.380952,2.942616,7,2,0,32,32,69,140.00213969999822,,3.0,3.283253600002354,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Liebchen,sweetheart,6.206349,1.667127,5.09375,2.334821,6.428571,2.029733,8,2,0,33,33,56,143.31872060000023,,4.0,2.538937299999816,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Zug,train,5.269841,1.050443,2.16129,1.601163,1.571429,1.102991,3,1,0,34,34,99,145.88872550000087,,5.0,2.1386027000007743,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Abfahrt,departure,5.046875,0.966579,2.096774,1.467793,5.412698,2.60666,7,2,0,35,35,0,148.05878830000074,,2.0,3.8446726000001945,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Parfüm,perfume,6.380952,2.202847,4.952381,2.310066,2.774194,2.228131,6,2,0,36,36,65,151.96187459999783,,5.0,2.3178805999996257,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Betrug,fraud,3.25,2.519763,5.857143,2.638775,6.677419,2.386947,6,2,0,37,37,12,154.31690759999765,,2.0,4.586299999999028,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Meer,sea,6.451613,2.413605,5.428571,2.716225,2.253968,2.078835,4,1,0,38,38,59,158.94886380000025,,5.0,2.021092900002259,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Vortrag,lecture,5.28125,1.147375,2.725807,2.073797,4.888889,2.609605,7,2,0,39,39,90,161.0034147999977,,3.0,2.9362933000011253,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Bohne,bean,5.109375,1.009749,2.492064,1.974621,1.603175,1.085679,5,2,0,40,40,13,163.97118010000122,,5.0,2.264310899998236,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Säufer,suffragette,3.3125,2.46805,6.578125,2.266419,4.206349,2.634503,6,2,0,41,41,71,166.2761427000005,,5.0,1.5913182000003872,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Geheul,howl,3.59375,2.068039,5.31746,2.347445,6.142857,2.381766,6,2,0,42,42,30,167.8987735999981,,3.0,3.920239200000651,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Bad,bath,6.063492,1.785904,3.904762,2.786571,1.774194,1.31098,3,1,0,43,43,6,171.84956389999934,,5.0,1.9892424999998184,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Phobie,phobia,3.412698,2.460232,6.15625,2.365216,8.0,1.471032,6,2,0,44,44,67,173.86963900000046,,1.0,2.8018687999974645,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Bestand,stock,4.984375,0.845008,2.190476,1.664207,6.725807,2.416944,7,2,0,45,45,11,176.709397300001,,2.0,3.322924999996758,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Picknick,picnic,6.258065,2.209781,4.671875,2.26817,3.301587,2.387028,8,2,0,46,46,68,180.06199500000002,,4.0,2.518930800000817,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Lüge,lie,3.578125,2.24531,6.887097,2.049429,7.442623,2.276874,4,2,0,47,47,57,182.61104129999876,,2.0,2.2250148000021,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Wunsch,wish,6.322581,2.046782,5.3125,2.455153,7.919355,1.518178,6,1,0,48,48,93,184.87669259999893,,1.0,6.173515599999519,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Fleiss,diligence,6.460318,1.941278,4.238095,2.204938,7.725807,1.651322,5,1,0,49,49,24,191.08328299999994,,1.0,2.631814899999881,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Infarkt,infarct,3.109375,2.539324,6.885246,2.129932,4.571429,2.849529,7,2,0,50,50,48,193.74721760000102,,2.0,5.484197000001586,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Zufuhr,feed,5.015625,0.577135,2.065574,1.681952,5.693548,2.460099,6,2,0,51,51,98,199.26284400000077,,2.0,2.5117694000000483,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Tripper,tripper,3.142857,2.663112,6.265625,2.463977,4.951613,3.091116,7,2,0,52,52,85,201.8055151999979,,2.0,3.1461794000024383,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Schal,scarf,5.203125,1.544881,2.507937,1.990891,1.634921,1.248245,5,1,0,53,53,72,204.98535049999919,,5.0,3.0084053999999014,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Geilheit,horniness,4.890625,2.19029,7.03125,1.708696,7.774194,1.731287,8,2,0,54,54,32,208.02492549999806,,3.0,2.8086325000003853,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Paket,package,5.484375,1.297032,2.650794,2.056922,1.83871,1.427982,5,2,0,55,55,64,210.8648718000004,,5.0,3.8781634000006306,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Stunk,stink,3.53125,2.281525,5.90625,2.314336,6.822581,2.161695,5,1,0,56,56,79,214.77787539999917,,3.0,3.995164300002216,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
