item_nr,condition,text,corr_ans,snd,ZipfSUBTLEX,word_len
143,word,zerrinnen,ralt,0.612505531,1.9,9
143,pseudoword,zerfanken,lalt,0.532811725,NA,9
144,word,zeugt,ralt,0.653093374,3.3,5
144,pseudoword,zeggt,lalt,0.50368759,NA,5
145,word,zuflüstern,ralt,0.720845735,2.64,10
145,pseudoword,umdröstern,lalt,0.484966379,NA,10
146,word,zurechtgebogen,ralt,0.625797224,2.07,14
146,pseudoword,zunandsgewägen,lalt,0.393707126,NA,14
147,word,zurückgeschreckt,ralt,0.664730155,1.9,16
147,pseudoword,zurichgeschrafst,lalt,0.428763491,NA,16
148,word,überbelegt,ralt,0.624682212,2.2,10
148,pseudoword,iberfenerb,lalt,0.467337263,NA,10
149,word,überlebensgroße,ralt,0.756840742,1.9,15
149,pseudoword,überlefätsglave,lalt,0.631505394,NA,15
150,word,überlisten,ralt,0.647439587,3.33,10
150,pseudoword,otertesten,lalt,0.61830591,NA,10
